"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7723","Register new user with random email and login","","Mon Mar 02 11:32:51 IST 2026","passed","Mon Mar 02 11:32:59 IST 2026","","tests/register-new-user.spec.js","",""
"","12375","E2E: Login and Complete Purchase","","Mon Mar 02 11:32:51 IST 2026","passed","Mon Mar 02 11:33:03 IST 2026","","tests/e2e.spec.js","",""
